kode_tempat,jenis_perangkat,hostname,merk_spek,ip_perangkat,kondisi
JNR,PC,JN-PPKA,ASUS K31AD,10.11.30.7,SO
JNR,PC,JN-LOKAL,DELL,10.11.30.3,SO
JNR,PC,JN-RESERVASI,ASUS K31AD,10.11.30.2,SO
JNR,PC,JN-BRD,HP-PRO 3005 MT,10.11.30.11,SO
JNR,PC,JN-JJ2,DELL,10.11.30.5,SO
JNR,PC,JN-JJ1,RAKITAN,10.11.30.9,SO
JNR,PC,JN-SISATD,ACER ASPIRE M1900,10.11.30.10,SO
JNR,Printer,EPSON L220,EPSON L220,,SO
JNR,Printer,CUSTOM KUBE II,CUSTOM KUBE II,,SO
JNR,Printer,CUSTOM KUBE II,CUSTOM KUBE II,,SO
JNR,Printer,EPSON LX-310,EPSON LX-310,,SO
JNR,Printer,EPSON L360,EPSON L360,,SO
JNR,Printer,CANON MP287,CANON MP287,,SO
WOJO,PC,PPKA,COMPAQ - Core i3 -2120,10.11.44.2,SO
WOJO,PC,WJ-LOKET,HP 510-p013l - Core i3 -6100t,10.11.44.5,SO
WOJO,PC,KCI LOKET,Dell OptiPlex 3020 - CORE i3-3450,,SO
WOJO,PC,WJ-TAY,INTEL - NUC6CAYH - INTEL CELRON,10.11.44.78,SO
WOJO,PC,WJ-TYNG,INTEL - NUC6CAYH - INTEL CELRON,10.11.44.77,SO
WOJO,PC,WJ-Boarding,Asus - K31AD - core i3 -4170,10.11.44.9,SO
WOJO,PC,CIC,,10.11.44.8,SO
WOJO,PC,WJ-JJADM1,Lenovo 510-15ICB - Core i5-9400,10.11.44.13,SO
WOJO,PC,JJ-ADM2,Dell - OPTIPLEX 3020 - Core i3 -4150,10.11.44.12,SO
WOJO,Printer,EPSON,EPSON,,SO
WOJO,Printer,JANZ PT-350,JANZ PT-350,,SO
WOJO,Printer,janz,janz,,SO
WOJO,Printer,CANON  MP287,CANON  MP287,,SO
WTS,PC,WT-CIC,ASUS K31AD - Core i3-4170,10.11.39.9,SO
WTS,PC,WT-BOARDING,RAKITAN - Penitum Dualcore,10.11.39.7,SO
WTS,PC,WT-SISATD,RAKITAN - Penitum Dualcore,10.11.39.20,SO
WTS,PC,WT-GOSHOW,ASUS K31AD - Core i3-4170,10.11.39.8,SO
WTS,PC,WT-PRAMEKS,HP PRO 3330 MT,10.11.39.2,SO
WTS,PC,WT-RESER,HP - compaq pro 4300s,10.11.39.3,SO
WTS,PC,WT-BRDBDR,,10.11.39.23,SO
WTS,PC,WT-LKTBDR,,10.11.39.21,SO
WTS,PC,WT-CICBDR,,10.11.38.22,SO
WTS,PC,WT-TAYBDR,intel NUC - INTEL CELERON,10.11.39.77,SO
WTS,PC,WT-ADM,COMPAQ CQ3321L,10.11.39.4,SO
WTS,PC,WT-KS,ASUS K31AD - Core i3 -4170,10.11.39.24,SO
WTS,PC,WT-PPKA,DELL,10.11.39.6,SO
WTS,PC,WT-JJ2,RAKITAN,,SO
WTS,PC,WT-JJ1,DELL,10.11.39.15,SO
WTS,PC,WT-STLADM2,HP PRO 3330 MT,10.11.39.11,SO
WTS,PC,WT-STLADM1,LENOVO q190,10.11.39.10,SO
WTS,Printer,EPSON TM-T88V,EPSON TM-T88V,,SO
WTS,Printer,CUSTOM KUBE ii,CUSTOM KUBE ii,,SO
WTS,Printer,CUSTOM KUBE ii,CUSTOM KUBE ii,,SO
WTS,Printer,DATALOGIC,DATALOGIC,,SO
WTS,Printer,janz  pt-350,janz  pt-350,,SO
WTS,Printer,OKI MICROLINE 320,OKI MICROLINE 320,,SO
WTS,Printer,EPSON L3110,EPSON L3110,,SO
WTS,Printer,EPSON L220,EPSON L220,,SO
WTS,Printer,EPSON L120,EPSON L120,,SO
WTS,Printer,CANON MP 287,CANON MP 287,,SO
WTS,Printer,EPSON L210,EPSON L210,,SO
STO,PC,STL-PPKA,ASUS K31AD,10.11.67.2,SO
STO,PC,1,,,SO
STO,Printer,EPSON L210,EPSON L210,,SO
RWL,PC,RWL-PPKA,DELL,10.11.48.2,SO
RWL,PC,RWL-KS,ASUS K31AD,10.11.48.11,SO
RWL,PC,RWL-PUG,,10.11.48.60,SO
RWL,PC,RWL-ANGBAR,,10.11.48.3,SO
RWL,PC,RWL-SINTEL,HP PRO 3300 MT,10.11.48.7,SO
RWL,PC,SK64-RWL,DELL OPTIPLEX 3020,10.11.48.30,SO
RWL,PC,RWL-ADM,RAKITAN,,SO
RWL,Printer,EPSON LX310,EPSON LX310,,SO
RWL,Printer,EPSON L210,EPSON L210,,SO
RWL,Printer,EPSON L220,EPSON L220,,SO
RWL,Printer,EPSON L385,EPSON L385,,SO
RWL,Printer,EPSON L210,EPSON L210,,SO
RWL,Printer,CANON PIXMA MP287,CANON PIXMA MP287,,SO
RWL,Printer,EPSON L310,EPSON L310,,SO
RWL,Router,Router JUNIPER,JUNIPER,,SO
RWL,Switch,Switch DLINK,DLINK,,SO
RWL,Switch,Switch DLINK,DLINK,,SO
RWL,Switch,Switch DLINK,DLINK,,SO
RWL,Switch,Switch DLINK,DLINK,,SO
RWL,Switch,Switch DLINK,DLINK,,SO
PTK,PC,PTN-PPKA,HP 251-121DDT,10.11.49.2,SO
PTK,PC,PTN-JRK,RAKITAN,10.11.49.9,SO
PTK,PC,PTN-JRK,DELL OPTIPLEX 3020,10.11.49.10,SO
PTK,Printer,EPSON L120,EPSON L120,,SO
PTK,Printer,BROTHER DCP-J100,BROTHER DCP-J100,,SO
PTK,Router,Router JUNIPER,JUNIPER,,SO
PTK,Switch,Switch DLINK,DLINK,,SO
PTK,Switch,Switch TPLINK,TPLINK,,SO
TUG,PC,YK-PKTAYANGAN,RAKITAN - AMD A4-6300,10.11.1.159,SO
TUG,PC,YK-PUSDALTMSV1,HP P6130L,10.11.1.155,SO
TUG,PC,YK-PKEVALUATOR,HP PRO 3005 MT - AMD Phenom II X2,10.11.1.152,SO
TUG,PC,YK-PKOCDALSAR,HP PRO 3005 MT - AMD Phenom II X2,10.11.1.150,SO
TUG,PC,YK-PK-OCOP,DELL OPTIPLEX 3020 - Core i3 -4150,10.11.1.151,SO
TUG,PC,YK-PK-EVA,DELL OPTIPLEX 3020 - Core i3 -4150,10.11.1.154,SO
TUG,PC,YK-PK-SS,HP 120-021D - CORE i3 -4160,10.11.1.158,SO
TUG,PC,YK-KAPUSDAL,HP 120-021D - CORE i3 -4160,10.11.1.165,SO
TUG,PC,YK-PUSDALTMSV2,COMPAQ CQ3321L,10.11.1.156,SO
TUG,PC,YK-PK-OR,LENOVO - Pentium,10.11.1.153,SO
